Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
3.462519,-2.465073853,12.86035675,10.15308655,16.56956642
3.472329,-2.343975677,11.84127594,9.967023468,15.65412389
3.482137,-2.378404083,10.8172554,9.54789505,14.6229997
3.491945,-2.439926147,9.878108368,8.988957367,13.57687811
3.501751,-2.430046692,9.134005737,8.334967346,12.60185972
3.511563,-2.407144318,8.540340271,7.577392731,11.66827478
3.521373,-2.435585175,8.062683563,6.760990448,10.80045986
3.531181,-2.455044708,7.617359619,5.978417816,9.989639216
3.540988,-2.390828247,7.130571899,5.233267365,9.162325176
3.550798,-2.337988129,6.687193909,4.561913452,8.425900854
3.560606,-2.300266571,6.372398529,3.925437012,7.829926248
3.570414,-2.213447113,6.112089844,3.324586487,7.301360537
3.580221,-2.085463257,5.799839172,2.707719269,6.731941403
3.59003,-1.989961853,5.341941376,2.236199799,6.123469227
3.599837,-1.880539398,4.871769104,1.782493286,5.517956592
3.609645,-1.769769745,4.397555237,1.398691406,4.94235922
3.619453,-1.592987366,3.869154053,1.115330658,4.330349213
3.629261,-1.507515106,3.437601471,1.015937347,3.888680285
3.639068,-1.453627167,3.211421814,1.163829803,3.712244849
3.648878,-1.48595993,3.105292511,1.396595764,3.715023314
3.658687,-1.613345032,3.089275818,1.747765503,3.898870545
3.668496,-1.778751068,3.126248932,2.226769409,4.230353383
3.678301,-1.75749527,3.077899475,2.601739655,4.396737885
3.688115,-1.823957062,3.000809784,2.93809021,4.578651854
3.697923,-2.090402985,3.14286438,3.36979248,5.059929101
3.707731,-2.256258087,3.613336029,3.888912964,5.768062227
3.717539,-2.45489502,3.944746857,4.321812744,6.345518317
3.72735,-2.978805542,3.258274384,4.812043304,6.530344185
3.737158,-3.31021637,3.33940567,5.02789444,6.883958537
3.746967,-3.655099182,3.679498444,5.313949585,7.425396893
3.756778,-4.044140167,3.944746857,5.784720612,8.085733734
3.766587,-4.335284729,4.211043091,6.182892609,8.646140099
3.776396,-4.903503113,4.557273102,6.442303162,9.290659338
3.786205,-5.766907654,4.960684204,6.658753052,10.10962926
3.796015,-6.776558075,5.480104065,7.116950226,11.25185587
3.805823,-7.847431183,6.061345367,7.67454071,12.53876625
3.815632,-8.475674744,6.838229828,7.699089661,13.33695734
3.82544,-8.785530396,7.626340942,7.404053192,13.79009152
3.835249,-9.001082153,8.640482025,7.334747314,14.47328324
3.845058,-9.007818146,9.659562836,7.257058868,15.07026361
3.854867,-8.972790985,10.77175003,6.964118042,15.65377005
3.864675,-8.631800079,10.42462189,7.082671509,15.27563255
3.874483,-8.245154114,10.82533859,6.618935852,15.13211267
3.884292,-7.608527985,10.7695047,6.162235565,14.55489872
3.894099,-6.699019318,10.23391846,5.791755981,13.53345426
3.903906,-5.617817688,10.00279907,5.681585083,12.80219801
3.913713,-4.717140656,8.755592651,5.447621613,11.33968253
3.923522,-3.830983429,7.61960495,5.13896347,9.957095921
3.93333,-2.824326782,6.782246246,5.198240204,8.99985484
3.943138,-1.874402161,6.224655762,5.550757141,8.548135917
3.952946,-1.013093262,5.731431427,6.051615601,8.396291773
3.962753,-0.195044403,5.034031677,6.584507446,8.290672805
3.972561,0.54995636,4.04264328,6.915469208,8.029267155
3.982346,1.429527283,3.018023987,7.443870392,8.158628773
3.992178,2.246977386,1.933379517,8.174051971,8.694940446
4.001987,2.895877991,0.762664032,8.872499542,9.364241234
4.011796,3.432661743,-0.489332428,9.520352325,10.13211337
4.021603,4.187092896,-1.813927917,10.23840912,11.20924184
4.031413,4.973856812,-3.217109985,10.93865295,12.43958105
4.041219,5.699996796,-4.760849762,11.65850601,13.82303933
4.051027,6.203399963,-6.409072266,12.48089584,15.34050649
4.060835,6.370452576,-8.200846252,13.53754852,17.06170464
4.070643,6.54543869,-10.49602341,14.64898727,19.17295239
4.080438125,6.846013641,-12.5491539,15.92463455,21.39960635
4.090246125,7.354206848,-14.11669418,17.405056,23.58604222
4.100054125,7.849826202,-14.79134125,18.74102783,25.13224366
4.109861125,8.352780304,-14.117742,19.3412796,25.36069153
4.119670125,8.714727631,-14.50633392,20.41709244,26.51863242
4.129478125,8.954528961,-15.00853958,22.31918701,28.34759175
4.139287125,9.970615997,-14.91064316,22.98305649,29.1540966
4.149096125,11.34520752,-15.28666122,22.4467218,29.43214339
4.158900125,12.49287094,-15.84859268,21.25909149,29.31209111
4.168711125,13.75190277,-16.04273895,20.52142548,29.45527468
